Content Tab,Property,Property,Property,Property,Property,Property,Property,Property,Property,Property,Property,Property,Property,Property,Property,Property,Property,Property,Property,Property,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Partner Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab,Region Tab
Position ID,1-Left,2-Left,3-Left,4-Left,5-Left,6-Left,7-Left,8-Left,9-Left,10-Left,1-Right,2-Right,3-Right,4-Right,5-Right,6-Right,7-Right,8-Right,9-Right,10-Right,1-Left,2-Left,3-Left,4-Left,5-Left,6-Left,7-Left,8-Left,9-Left,10-Left,1-Right,2-Right,3-Right,4-Right,5-Right,6-Right,7-Right,8-Right,9-Right,10-Right,1-Left,2-Left,3-Left,4-Left,5-Left,6-Left,7-Left,8-Left,9-Left,10-Left,1-Right,2-Right,3-Right,4-Right,5-Right,6-Right,7-Right,8-Right,9-Right,10-Right
Header,Property ID,Property Name,Region 3,Market Manager,Partner,Property Address,Days Active,Bookings/Revenue,Last Booked by,Rates,PD Approval,HE Status,Last Inspection,Inspection Details,Property Keynote 1,Property Keynote 2,Property Keynote 3,Property Keynote 4,Property Keynote 5,Property Keynote 6,Property ID,Property Name,Region 3,Market Manager,Partner,Partner Since,Payment Terms,Cancellation Policy,Commission,Negotiable,Partner Keynote 1,Partner Keynote 2,Partner Keynote 3,Partner Keynote 4,Partner Keynote 5,Partner Keynote 6,Partner Keynote 7,Partner Keynote 8,Partner Keynote 9,Partner Keynote 10,Property ID,Property Name,Region 3,Market Manager,Partner,Region Keynote 1,Region Keynote 2,Region Keynote 3,Region Keynote 4,Region Keynote 5,Region Keynote 6,Region Keynote 7,Region Keynote 8,Region Keynote 9,Region Keynote 10,Region Keynote 11,Region Keynote 12,Region Keynote 13,Region Keynote 14,Region Keynote 15
Details,104779,Pallina,St. Thomas,Edward Puglia,Mclaughlin Anderson,Unnamed Road St. Thomas Peterborg USVI 00802,4761,Lifetime: 56 // $80217,Shane Handyside (4/2016),-,All Clear,Yellow: Minor villa condition issue(s) that can be controlled/fixed easily,-,Guest survey or other feedback received: ,-,-,-,-,-,-,104779,Pallina,St. Thomas,Edward Puglia,Mclaughlin Anderson,2003,-,-,20%,-,-,-,-,-,-,-,-,-,-,-,104779,Pallina,St. Thomas,Edward Puglia,Mclaughlin Anderson,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,104782,Ventana,St. Thomas,Edward Puglia,Mclaughlin Anderson,Flag Hill Road St. Thomas St. Thomas USVI 00802,4761,Lifetime: 33 // $88487,Bianca Daniell (6/2015),-,QUALITY STANDARDS: Maintenance and quality issues. ETA END: UFN,Orange: Impactful issues were noticed at the property that would require labor to be resolved,-,Guest survey or other feedback received: ,-,-,-,-,-,-,104782,Ventana,St. Thomas,Edward Puglia,Mclaughlin Anderson,2003,-,-,20%,-,-,-,-,-,-,-,-,-,-,-,104782,Ventana,St. Thomas,Edward Puglia,Mclaughlin Anderson,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,104790,L'Esperance,St. Thomas,Edward Puglia,Mclaughlin Anderson,Flag Hill Road St. Thomas St. Thomas USVI 00802,4759,Lifetime: 8 // $27094,Shane Handyside (3/2016),-,All Clear,-,-,-,-,-,-,-,-,-,104790,L'Esperance,St. Thomas,Edward Puglia,Mclaughlin Anderson,2003,-,-,20%,-,-,-,-,-,-,-,-,-,-,-,104790,L'Esperance,St. Thomas,Edward Puglia,Mclaughlin Anderson,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,104795,Infinity,St. Thomas,Edward Puglia,Mclaughlin Anderson,Unnamed Road  St. Thomas Skyline Drive USVI 00802,4757,Lifetime: 46 // $101947,Shane Handyside (1/2016),-,All Clear,Yellow: Minor villa condition issue(s) that can be controlled/fixed easily,-,Guest survey or other feedback received: ,-,-,-,-,-,-,104795,Infinity,St. Thomas,Edward Puglia,Mclaughlin Anderson,2003,-,-,20%,-,-,-,-,-,-,-,-,-,-,-,104795,Infinity,St. Thomas,Edward Puglia,Mclaughlin Anderson,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,104800,Hakuna Matata,St. John,Edward Puglia,Catered To,Unnamed Road  St. John Catherineberg USVI 00830,4757,Lifetime: 17 // $54686,Mitch Spour (4/2016),-,All Clear,Yellow: Minor villa condition issue(s) that can be controlled/fixed easily,13-Feb-16,"Guest survey or other feedback received: welcome: 
wifi is poor,stove burner not working properly,bathroom 1-shower not working properly due to handle,",-,-,-,-,-,-,104800,Hakuna Matata,St. John,Edward Puglia,Catered To,2003,-,100% non refundable,20%,"50% Deposit, Full payment 80 days prior to arrival",-,-,-,-,-,-,-,-,-,-,104800,Hakuna Matata,St. John,Edward Puglia,Catered To,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,104804,Seacove,St. John,Edward Puglia,Mclaughlin Anderson,Unnamed Road St. John Peter Bay USVI 00830,4756,Lifetime: 31 // $159345,Julie Zefrani (12/2015),-,CONSTRUCTION - NEIGHBOUR: First stage of new construction. ETA END: Jan 2018,NO EYE: Property has never been inspected,-,Guest survey or other feedback received: ,-,-,-,-,-,-,104804,Seacove,St. John,Edward Puglia,Mclaughlin Anderson,2003,-,-,20%,-,-,-,-,-,-,-,-,-,-,-,104804,Seacove,St. John,Edward Puglia,Mclaughlin Anderson,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,104806,Villa des Great Chefs,St. Croix,Edward Puglia,Mclaughlin Anderson,Unnamed Road  St. Croix Seven Hills USVI 00820,4756,Lifetime: 9 // $11117,-,-,All Clear,-,-,-,-,-,-,-,-,-,104806,Villa des Great Chefs,St. Croix,Edward Puglia,Mclaughlin Anderson,2003,-,-,20%,-,-,-,-,-,-,-,-,-,-,-,104806,Villa des Great Chefs,St. Croix,Edward Puglia,Mclaughlin Anderson,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Details,104808,Sugar Bay House,St. Croix,Edward Puglia,Vacation St. Croix,Northcentral St. Croix Christiansted USVI 00820,4756,Lifetime: 9 // $22226,-,-,All Clear,-,-,-,-,-,-,-,-,-,104808,Sugar Bay House,St. Croix,Edward Puglia,Vacation St. Croix,2003,-,40% non refundable if canceled within 50 days of arrival. 100% non refundable during holidays,20%,"50% Deposit, Full payment 65 days prior to arrival",-,-,-,-,-,-,-,-,-,-,104808,Sugar Bay House,St. Croix,Edward Puglia,Vacation St. Croix,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
